Character_Name,Character_dialogue,num_palabras,sentimiento
Guard 1, See you tomorrow.,3,0.0
Guard 2, Oh my God.,3,0.2732
Trinity, I’m in.,2,0.0
Link," Sir, are you sure about this?",6,0.3182
Morpheus," I told you, we’re going to be all right.",9,0.0
Link," I understand, sir, it’s just that… I’m scoping some serious sentinel activity up here.",14,-0.0772
Morpheus, Link.,1,0.0
Link, Yes sir?,2,0.4019
Morpheus," Given your situation, I can’t say I fully understand your reasons for volunteering to operate onboard my ship. However, if you wish to continue to do so, I must ask you to do one thing.",35,0.4019
Link," What’s that, sir?",3,0.0
Morpheus, To trust me.,3,0.5106
Link," Yes, sir, I will, sir… I mean, I do, sir.",10,0.4019
Morpheus, I hope so. Now re-patch the main AC to the hard drives and stand by to broadcast.,17,0.3612
Link," Yes, sir.",2,0.4019
Trinity, Still can’t sleep? You wanna talk?,6,0.0
Neo, They’re just dreams.,3,0.4019
Trinity," If you’re afraid of something,…",5,0.0
Neo, I just wish… I wish I knew what I’m supposed to do. That’s all. I just wish I knew.,19,0.6597
Trinity, She’s gonna call. Don’t worry.,5,-0.4404
Link, There you are.,3,0.0
Trinity, Are we ready to go?,5,0.3612
Link, We’re already late.,3,0.0
Niobe, These geotherms confirm the last transmission of the Osiris. The machines are digging. They’re boring from the surface straight down to Zion.,22,-0.1027
Tirant, Mother…,1,0.0
Soren, They’ll avoid the entire perimeter defense.,6,-0.1779
Ice, How fast are they moving?,5,0.0
Niobe, Control estimates their descent at a hundred meters an hour.,10,0.0
[crew/captain], Shit.,1,-0.5574
[captain 2], How deep are they?,4,0.0
Niobe, Almost two thousand meters.,4,0.0
[captain 2], What about the scans from the Osiris?,7,0.0
[captain 3], They can’t be accurate.,4,0.0
Niobe, They may be.,3,0.0
[crew/captain], What?,1,0.0
[captain 3], It’s not possible.,3,0.0
Binary, That’d mean there are a quarter of a million sentinels out there.,12,0.0
Niobe, That’s right.,2,0.0
[captain 3], That can’t be.,3,0.0
Morpheus," Why not? A sentinel for every man, woman, and child in Zion. That sounds exactly like the thinking of a machine to me.",23,0.3612
Niobe," Morpheus, glad you could join us.",6,0.6369
Morpheus," Niobe. My apologies to all. As you are undoubtedly aware, it has become increasingly difficult to locate a secure broadcast position.",21,-0.0258
[captain], Squiddies got all our best spots.,6,0.6369
Ice, Mainlines are crawling with them.,5,0.0
Ghost," And if Niobe’s right, in 72 hours there’s gonna be a quarter of a million more.",16,0.0
Ballard, What are we gonna do about it?,7,0.0
Niobe, We’re gonna do what Commander Lock ordered us to do. We’ll evacuate broadcast level and return to Zion.,18,0.0
Morpheus," And does the Commander have a plan for stopping 250,000 sentinels?",11,-0.1531
Niobe, A strategy is still being formulated.,6,0.0
Morpheus, I’m sure it is.,4,0.3182
Smith, I’m looking for Neo.,4,0.0
Corrupt, Never heard of him.,4,0.0
Smith," I have something for him. A gift. You see, he set me free.",13,0.7351
Corrupt," Fine, whatever. Now piss off.",5,-0.2263
Neo, Who was that?,3,0.0
Wurm, How did you know someone was here?,7,0.0
Corrupt, He gave you this. He said you set him free.,10,0.5106
Wurm," Is everything all right, sir?",5,0.0
Neo," The meeting is over, retreat to your exits. Agents are coming.",11,0.2023
Corrupt, Agents?,1,0.0
Neo, Go.,1,0.0
Neo," Hiya, fellas.",2,0.0
Neo, Hmm. Upgrades.,2,0.0
Smith 1, That went as expected.,4,0.0
Smith 2, Yes.,1,0.4019
Smith 1, It’s happening exactly as before.,5,0.0
Smith 2," Well, not exactly.",3,0.2732
Morpheus," What happened back there, Link?",5,0.0
Link," I can’t figure it out, sir. Agents just came out of nowhere. And then the code got all weird. Encryption I’ve never seen.",23,-0.1779
Trinity, Is Neo okay?,3,0.2263
Link," Okay? Shit, Morpheus, you should have seen him.",8,-0.4019
Morpheus, Where is he now?,4,0.0
Link, He’s doing his Superman thing.,5,0.0
Neo, Where are you?,3,0.0
Link," This is the Nebuchadnezzar on approach, requesting access to Gate 3.",11,0.0
Zion Virtual Control Operator," Nebuchadnezzar, this is Zion Control. Maintain present velocity and stand by.",11,0.0
Link," Roger that, Control.",3,0.0
Zion Virtual Control Operator," This is Zion Control requesting immediate stand down of arms at Gate 3. We have the Nebuchadnezzar on approach. Let’s open her up. Nebuchadnezzar, you are clear through Gate 3 to Bay 7.",33,0.3818
Link," Roger that, Control.",3,0.0
Zion Virtual Control Operator," Door’s open, bed’s made. Welcome home.",6,0.4588
Link, No place like it.,4,0.0772
Zion Controller," [?]Control. Zion Control, stand by for Gate 3 lockdown.",9,0.0
Zion Virtual Control Operator, The Nebuchadnezzar is down. Bay 7.,6,0.0
Zion Controller, Understood.,1,0.0
Morpheus, Captain Mifune.,2,0.0
Mifune, Captain Morpheus.,2,0.0
Morpheus," Are you here to escort me to the stockade, Captain?",10,0.0
Mifune, I’m just here to keep the peace.,7,0.5423
Lock’s Lieutenant, Commander Lock demands…,3,0.0
Mifune, *coughs*,1,0.0
Lock’s Lieutenant," …requests your immediate counsel, sir.",5,0.0
Morpheus, Link.,1,0.0
Link, Sir?,1,0.0
Morpheus, I want the ship ready to go as soon as humanly possible.,12,0.4215
Link," Understood, sir.",2,0.0
Neo, What is it between them?,5,0.0
Trinity, Morpheus and Lock? Niobe.,4,0.0
Neo, Captain Niobe?,2,0.0
Trinity, She used to be with Morpheus. Now she’s with Lock.,10,0.0
Neo, What happened?,2,0.0
Trinity, Morpheus went to the Oracle. After that everything changed.,9,0.0
Neo," Yeah, she can do that.",5,0.296
Kid, Neo!,1,0.0
Neo," Oh, no.",2,-0.296
Trinity, How does he always know?,5,0.0
Neo, Doesn’t he have anything better to do?,7,0.4404
Trinity, You know what they say about the life you save.,10,0.4939
Neo, I didn’t save his life.,5,0.4939
Kid," Hiya, Neo! Trinity, Link. It’s great to have you back!",10,0.6892
Neo, Thanks. It’s good to be back.,6,0.7003
Kid," Can I carry that for you, Neo?",7,0.0
Neo," No, I can carry my own bag.",7,-0.296
Kid, Trinity?,1,0.0
Trinity, I’m fine.,2,0.2023
Link, You can carry these.,4,0.0
Kid," Yeah, sure, Link. Hey, you know, next year I’m old enough to join a crew. I’ve been thinking a lot about it and I’ve made my decision.",27,0.6908
Link, Let me guess.,3,0.0
Kid," I want to join the Nebuchadnezzar. I know Morpheus hasn’t filled the other crew positions except for you, Link. I’m sure he has his reasons, but the more I think about it, the more I think it’s meant to be. You know, it’s fate. I mean, you’re the reason I’m here, Neo.",52,0.34
Neo," I told you, Kid, you found me, I didn’t find you.",11,0.0
Kid," I know, but you got me out! You saved me!",10,0.6467
Neo, You saved yourself.,3,0.4215
Lock, Morpheus.,1,0.0
Morpheus, Commander Lock.,2,0.0
Lock," I’ve spoken to the other captains, and I wanted to offer you the chance to explain your actions.",18,0.25
Morpheus, I wasn’t aware that my actions required any explanation.,9,0.0
Lock, You were given a direct order to return to Zion.,10,0.0
Morpheus, I did.,2,0.0
Lock, But you asked for one ship to remain behind.,9,0.0
Morpheus," I would have stayed, but I needed to recharge my ship.",11,0.0
Lock, So you admit to a direct contravention of your duty.,10,0.2682
Morpheus," Commander, we need a presence inside the Matrix to await contact from the Oracle.",14,0.1027
Lock, I don’t want to hear that shit! I don’t care about Oracles or prophecies or Messiahs. I care about one thing,21,0.5255
Morpheus," With all due respect, Commander, there is only one way to save our city.",14,0.743
Lock, How?,1,0.0
Morpheus, Neo.,1,0.0
Lock," Goddamnit, Morpheus! Not everyone believes what you believe!",8,0.0
Morpheus, My beliefs do not require them to.,7,0.0
Kid," There’s a Gathering tonight. Everyone’s talking, a lot of people are scared. No one can remember the last time so many ships were docked. Something’s happening, isn’t it? Something big?",30,-0.6662
Link," Hey. We’re not allowed to say anything, so stop asking. Goddamn, it’s good to be home.",16,-0.5155
Lock, I’m going to recommend to the Council that you be removed from duty.,13,0.3612
Morpheus," That is, of course, your prerogative, Commander.",7,0.0
Lock," If it were up to me, Captain, you wouldn’t set foot on a ship for the rest of your life.",20,0.0
Morpheus, Then I am grateful that it is not up to you.,11,0.4588
Lock, Councillor Hamann.,2,0.0
Councillor Hamann, Commander. Captain.,2,0.0
Morpheus, Councillor.,1,0.0
Councillor Hamann," Council’s asked me to speak tonight, at the temple gathering. The presence of the fleet and the persistence of rumours must be addressed. The people must be told what is happening.",31,0.0
Lock," Of course, councillor. But might I advise a level of discretion concerning specific details. We do not wish to start a panic.",22,-0.8093
Councillor Hamann," Quite right. A panic is not what anyone wants. What about you, Captain, what would you advise?",17,-0.5542
Morpheus, The truth. No one will panic. Because there is nothing to fear. That army will never reach the gates of Zion.,21,-0.1645
Councillor Hamann, What makes you so sure?,5,0.4572
Morpheus," Consider what we have seen, Councillor. Consider that in the past 6 months we have freed more minds than in 6 years. This attack is an act of desperation. I believe very soon the prophecy will be fulfilled and this war will end.",43,-0.6705
Councillor Hamann," I hope you’re right, Captain.",5,0.4404
Morpheus," I do not believe it to be a matter of hope, Councillor. It is simply a matter of time.",19,0.4767
Link," My stop. See you soon, hopefully not too soon. Let’s go, Kid. These two got things to do.",18,0.128
Neo, Are you thinking what I’m thinking?,6,0.0
Trinity, I am if you’re thinking this elevator’s too damn slow.,10,-0.4019
Neo, How long to recharge the Neb?,6,0.0
Trinity," 24, maybe 30 hours.",4,0.0
Neo, Some people go their entire lives without hearing news that good.,11,0.4404
Old Woman at Zion," Neo, please. I have a son, Jacob, aboard the Gnosis. Please, watch over him.",14,0.5719
Neo, I’ll try.,2,0.0
Another Old Woman at Zion, I have a daughter on the Icarus.,7,0.0
Neo," No, wait.",2,-0.296
Trinity, It’s all right. They need you.,6,0.0
Neo, I need you.,3,0.0
Trinity, I know. There’s time.,4,0.0
Link, Where’s my puss… Hey!,4,0.0
Link’s Niece and Nephew, Uncle Link!,2,0.0
Link," God! Oh my God, you’re so huge, you should be picking me up!",13,0.7489
Link’s Niece and Nephew, No!,1,-0.3595
Link, Yeah!,1,0.3595
Link’s Niece and Nephew, Okay!,1,0.2942
Link," Okay? All right. Now, we’re gonna have to work together here, okay? One, two, three, lift! Oh, my God! What are you feedin’ these two?",25,0.7205
Cas," Come on, kids! It’s time to go.",7,0.0
Link," Hey, Cas.",2,0.0
Cas," Hey. Good to have you home, Link.",7,0.4404
Link, Good to be home.,4,0.4404
Cas," You be careful with her, huh?",6,0.1531
Zee," Don’t worry about me, he’s the one that’s gonna get it.",11,-0.4404
Link, Hmm?,1,0.0
Cas," Out the door! Both of you, march!",7,0.0
Link, Bye!,1,0.0
Cas, Bye!,1,0.0
Link, I’m gonna get what?,4,0.0
Zee," Every ship out there has been home two, even three times more than the Nebuchadnezzar.",15,0.0
Link," Come on, Zee! I thought we were past this!",9,0.0
Zee, We’ll get past this when you start operating another ship.,10,0.0
Link, I can’t do that!,4,0.0
Zee, Why?,1,0.0
Link, You know why.,3,0.0
Zee," If Dozer knew how I felt, he wouldn’t have asked you to do this.",14,0.0
Link," Maybe. But it’s too late now. I made a promise, and some promises can’t be unmade.",16,0.7469
Zee, It’s not fair.,3,-0.2411
Link, Nobody said it was gonna be. You think Cas thinks it’s fair that I’m here and Dozer’s not?,18,0.3182
Zee," I lost two brothers to that ship, Link. Afraid of it. Afraid it’s gonna take you too.",17,-0.3182
Link, It won’t.,2,0.0
Zee, How can you say that to me?,7,0.0
Link," Because of Morpheus, because of what he’s told me. He said that this is it. That it will be over soon.",21,0.0
Zee," Link, Morpheus is crazy.",4,-0.34
Link," No doubt, but Tank and Dozer believed him, and I’ll tell you what – soon after being on that ship and seeing Neo do the things he can do, I gotta say – I’m starting to believe him too.",39,-0.3291
Zee," Be careful, Link. Please be careful.",6,0.5423
Kid, They started yet?,3,0.0
Priestess, Only Councillor Hamann’s opening prayer.,5,0.0
Councillor Hamann," Tonight, let us honour these men and women. These are our soldiers, our warriors. These are our husbands and wives, our brothers and sisters, our children. Let us remember those that have been lost. And let us give thanks for those that have been found and who stand here beside us. Now I would like someone else to close this prayer. Someone who hasn’t spoken here in a long time, but who I believe has something to say that we all need to hear. I give you Morpheus.",88,0.5267
Morpheus," Zion! Hear me! It is true, what many of you have heard. The machines have gathered an army, and as I speak that army is drawing nearer to our home.",30,0.5242
Crowd, [whispers],1,0.0
Crowd, [cheers and applause],3,0.0
Crowd, [thunderous cheers and applause],4,0.4767
Niobe, I remember. I remember you used to dance. I remember you were pretty good.,14,0.7269
Morpheus," There are some things in this world, captain Niobe, that will never change.",13,0.0
Lock, Niobe!,1,0.0
Morpheus, Some things do change.,4,0.0
Neo, Excuse me.,2,0.0772
Neo, I missed you.,3,-0.296
Trinity, I can tell.,3,0.0
Neo, I was thinking… Everyone is here.,6,0.0
Trinity, Follow me.,2,0.0
Trinity," Neo, what is it? What’s wrong? It’s okay, you can tell me.",12,-0.3736
Neo, Trinity…,1,0.0
Trinity, Don’t be afraid.,3,0.0
Neo, I can’t lose you.,4,-0.4019
Trinity, You’re not gonna lose me. You feel this? I’m never letting go.,12,0.3089
Morpheus," Good night, Zion. Sweet dreams.",5,0.8225
Bane, You all right?,3,0.0
Malachi, I’ll make it. Did you see that Agent? I’ve never seen anything like it.,14,-0.2755
Bane, Doesn’t matter now. All that matters is this. You first.,10,0.0516
Bane, Oh God.,2,0.2732
Smith, Smith will suffice.,3,0.0
Bane-Smith, Thank you.,2,0.3612
Smith, My pleasure.,2,0.5719
Councillor Hamann, Care for some company?,4,0.4939
Neo, Councillor Hamann.,2,0.0
Councillor Hamann, I don’t want to intrude if you prefer to be alone.,11,-0.1779
Neo," No, I could probably use some company.",7,-0.296
Councillor Hamann," Good, so could I. It’s nice tonight. Very calm. Feels like everyone’s sleeping very peacefully.",15,0.9294
Neo, Not everyone.,2,0.0
Councillor Hamann," I hate sleeping. I never sleep more than a few hours. I figure I slept the first 11 years of my life, now I’m making up for it. What about you?",31,-0.5719
Neo, I just haven’t been able to sleep much.,8,0.0
Councillor Hamann, It’s a good sign.,4,0.4404
Neo, Of what?,2,0.0
Councillor Hamann," That you are, in fact, still human. Have you ever been to the enginering level? I love to walk there at night, it’s quite amazing. Would you like to see it?",31,0.9033
Neo, Sure.,1,0.3182
Councillor Hamann," Almost no one comes down here, unless, of course, there’s a problem. That’s how it is with people – nobody cares how it works as long as it works. I like it down here. I like to be reminded this city survives because of these machines. These machines are keeping us alive, while other machines are coming to kill us. Interesting, isn’t it? Power to give life, and the power to end it.",73,0.4576
Neo, We have the same power.,5,0.0
Councillor Hamann," I suppose we do, but down here sometimes I think about all those people still plugged into the Matrix and when I look at these machines, I.. I can’t help thinking that in a way, we are plugged into them.",40,0.5499
Neo," But we control these machines, they don’t control us.",9,0.0
Councillor Hamann," Of course not, how could they? The idea’s pure nonsense, but… it does make one wonder just… what is control?",20,-0.4696
Neo," If we wanted, we could shut these machines down.",9,0.0
Councillor Hamann," Of course… that’s it. You hit it! That’s control, isn’t it? If we wanted, we could smash them to bits. Although if we did, we’d have to consider what would happen to our lights, our heat, our air.",38,0.0
Neo," So we need machines and they need us. Is that your point, Councillor?",13,0.0
